event_date,category,b2b,status,total_orders,total_items_sold,total_gmv
2024-03-01,Bottom,False,Cancelled,4,1.0,1181.01
2024-03-01,Blouse,False,Shipped,7,7.0,3898.0
2024-03-01,Set,True,Shipped - Delivered to Buyer,2,2.0,1590.0
2024-02-27,Set,False,Shipped,298,299.0,257795.0
2024-02-27,kurta,False,Cancelled,62,22.0,15074.52
2024-02-27,Bottom,False,Shipped,1,1.0,331.0
2024-02-27,Blouse,False,Shipped - Delivered to Buyer,1,1.0,499.0
2024-02-27,Set,True,Cancelled,1,0.0,0.0
2024-02-23,Ethnic Dress,False,Shipped - Delivered to Buyer,6,6.0,3555.0
2024-02-23,Blouse,False,Shipped - Delivered to Buyer,1,1.0,0.0
2024-02-22,Western Dress,False,Cancelled,24,5.0,11736.16
2024-02-22,Ethnic Dress,False,Shipped - Delivered to Buyer,2,2.0,1258.0
2024-01-15,Blouse,False,Shipped - Delivered to Buyer,4,4.0,1708.0
2024-01-15,Western Dress,True,Shipped - Delivered to Buyer,1,1.0,725.0
2024-01-14,Set,False,Shipped - Delivered to Buyer,123,123.0,101914.0
2024-01-14,Blouse,False,Shipped,3,3.0,1423.0
2024-01-14,Western Dress,False,Shipped,90,90.0,65559.0
2024-01-14,Set,False,Shipped - Returned to Seller,11,11.0,8566.0
2024-01-14,kurta,True,Shipped - Delivered to Buyer,4,4.0,2279.0
2024-01-12,Western Dress,False,Shipped - Delivered to Buyer,53,55.0,38712.0
2024-01-12,kurta,False,Shipped,296,297.0,125753.0
2024-01-12,Top,False,Shipped - Delivered to Buyer,26,26.0,12029.0
2024-01-12,Bottom,False,Shipped - Delivered to Buyer,2,2.0,642.0
2024-01-12,Western Dress,False,Shipped - Returned to Seller,3,3.0,1958.0
2024-01-12,Top,False,Shipped - Returned to Seller,2,2.0,1036.0
2024-01-12,Ethnic Dress,True,Shipped,1,1.0,845.0
2024-01-11,Set,False,Cancelled,94,30.0,52511.32000000001
2024-01-11,Top,False,Shipped,102,102.0,48857.0
2024-01-11,Ethnic Dress,False,Shipped - Delivered to Buyer,3,3.0,2411.0
2024-01-11,kurta,True,Shipped - Delivered to Buyer,1,1.0,458.0
2024-01-10,Set,False,Shipped - Returned to Seller,7,7.0,6212.0
2024-01-10,Set,False,Shipped - Delivered to Buyer,132,132.0,110700.0
2024-01-08,Bottom,False,Shipped - Returned to Seller,1,1.0,345.0
2024-01-07,kurta,False,Shipped,458,462.0,192892.0
2024-01-07,Set,False,Shipped,356,359.0,291396.0
2024-01-07,Western Dress,False,Shipped - Returned to Seller,2,2.0,1267.0
2024-01-07,Western Dress,False,Shipped - Delivered to Buyer,35,40.0,28107.0
2024-01-07,kurta,False,Shipped - Picked Up,1,1.0,487.0
2024-01-07,Top,True,Shipped,1,1.0,329.0
2024-01-06,kurta,False,Shipped,435,435.0,189549.0
2024-01-06,Set,False,Shipped,464,469.0,384515.0
2024-01-06,Western Dress,False,Shipped - Delivered to Buyer,23,23.0,16539.0
2024-01-06,Ethnic Dress,False,Cancelled,3,1.0,791.0
2024-01-14,Western Dress,True,Cancelled,1,1.0,721.0
2024-01-13,Top,False,Cancelled,15,7.0,5264.18
2024-01-13,Ethnic Dress,False,Shipped - Returned to Seller,1,1.0,845.0
2024-01-13,Top,True,Shipped,1,1.0,540.0
2024-01-13,Ethnic Dress,False,Shipped - Delivered to Buyer,4,4.0,3588.0
2024-01-13,Set,False,Shipped - Rejected by Buyer,2,2.0,1356.0
2024-01-13,Set,True,Shipped,1,1.0,1065.0
2024-01-10,Saree,False,Shipped,2,2.0,1467.0
2024-01-10,Set,True,Shipped,2,2.0,2021.0
2024-01-09,Set,False,Shipped - Delivered to Buyer,109,109.0,93042.0
2024-01-09,Set,False,Shipped - Returned to Seller,11,11.0,8546.0
2024-01-09,Top,False,Cancelled,14,5.0,4194.66
2024-01-09,Ethnic Dress,False,Shipped,8,8.0,6752.0
2024-01-09,Western Dress,True,Shipped - Delivered to Buyer,1,1.0,885.0
2024-01-08,kurta,True,Shipped,1,1.0,477.0
2024-01-08,Ethnic Dress,False,Shipped - Delivered to Buyer,1,1.0,899.0
2024-01-06,Western Dress,False,Shipped - Returned to Seller,1,1.0,715.0
2024-01-06,kurta,True,Shipped - Delivered to Buyer,1,1.0,379.0
2024-01-06,Set,True,Shipped - Delivered to Buyer,1,1.0,1354.0
2024-01-05,Ethnic Dress,False,Shipped - Delivered to Buyer,1,1.0,399.0
2024-01-05,Bottom,False,Cancelled,2,1.0,241.0
2024-02-03,Blouse,False,Shipped,7,7.0,4122.0
2024-02-03,Set,False,Shipped,578,583.0,451271.0
2024-02-03,kurta,False,Shipped,577,581.0,254389.0
2024-02-03,Blouse,True,Shipped,1,1.0,460.0
2024-02-02,Top,False,Shipped,97,96.0,46850.0
2024-02-02,Blouse,False,Shipped - Delivered to Buyer,3,3.0,1713.0
2024-02-02,Bottom,False,Cancelled,2,1.0,563.1
2024-02-02,kurta,True,Shipped - Delivered to Buyer,1,1.0,424.0
2024-03-31,Western Dress,False,Shipped,30,30.0,24044.0
2024-03-31,Ethnic Dress,False,Shipped,1,1.0,690.0
2024-03-30,Ethnic Dress,False,Pending,2,2.0,1854.0
2024-03-30,Set,False,Cancelled,69,16.0,25752.66
2024-03-30,Western Dress,False,Pending,10,10.0,8414.0
2024-03-30,Blouse,False,Pending - Waiting for Pick Up,1,1.0,529.0
2024-03-29,Western Dress,False,Cancelled,30,11.0,14525.49
2024-03-29,Set,False,Pending - Waiting for Pick Up,15,15.0,8125.0
2024-03-29,Top,False,Cancelled,7,4.0,2427.9
2024-03-29,Ethnic Dress,False,Shipped - Picked Up,2,2.0,438.0
2024-03-29,Blouse,False,Shipped,5,5.0,3585.0
2024-03-29,Ethnic Dress,False,Shipped,2,2.0,1545.0
2024-03-29,kurta,False,Pending,7,7.0,3215.0
2024-03-28,kurta,True,Shipped,6,6.0,3551.0
2024-03-27,Ethnic Dress,False,Shipped,6,6.0,6552.0
2024-03-27,Bottom,False,Shipped,5,5.0,1171.0
2024-03-27,Bottom,False,Shipped - Picked Up,1,1.0,301.0
2024-03-26,Set,False,Shipped - Picked Up,49,49.0,41482.0
2024-03-26,Set,False,Shipped,238,239.0,210917.0
2024-03-26,kurta,False,Cancelled,58,11.0,14283.780000000006
2024-03-26,Bottom,False,Shipped - Picked Up,2,2.0,322.0
2024-03-26,Western Dress,False,Shipped - Delivered to Buyer,17,17.0,12839.0
2024-03-26,Bottom,False,Shipped,4,4.0,1442.0
2024-03-26,Western Dress,False,Shipped - Returning to Seller,1,1.0,999.0
2024-03-26,Top,False,Shipped - Rejected by Buyer,1,1.0,518.0
2024-03-25,kurta,False,Shipped,305,303.0,139005.0
2024-03-25,kurta,False,Shipped - Picked Up,29,29.0,14353.0
2024-03-25,Set,False,Shipped - Out for Delivery,3,3.0,2869.0
2024-03-25,Set,False,Pending,2,2.0,1362.0
2024-03-24,kurta,False,Shipped,358,360.0,163968.0
2024-03-24,Set,False,Shipped - Picked Up,9,9.0,6625.0
2024-03-24,Set,False,Shipped,297,298.0,242799.0
2024-03-24,kurta,False,Shipped - Picked Up,3,3.0,1639.0
2024-03-23,kurta,False,Shipped,328,328.0,156190.0
2024-03-23,Top,False,Shipped - Delivered to Buyer,11,11.0,5037.0
2024-03-23,kurta,False,Shipped - Picked Up,7,7.0,2444.0
2024-03-23,kurta,True,Shipped,5,5.0,3489.0
2024-03-23,Top,False,Shipped - Returning to Seller,1,1.0,463.0
2024-03-23,Bottom,False,Shipped,5,5.0,1722.0
2024-03-22,kurta,False,Shipped,331,333.0,154898.0
2024-03-22,Set,False,Shipped,283,284.0,232763.0
2024-03-22,Set,False,Shipped - Picked Up,1,1.0,845.0
2024-03-21,Top,False,Cancelled,8,4.0,3834.37
2024-03-21,kurta,False,Shipped - Delivered to Buyer,87,87.0,40769.0
2024-03-21,kurta,False,Shipped - Returned to Seller,3,3.0,969.0
2024-03-21,kurta,False,Shipped - Returning to Seller,3,3.0,1748.0
2024-03-21,Set,False,Pending,2,2.0,1028.0
2024-02-12,Top,False,Cancelled,10,1.0,2351.77
2024-02-12,kurta,True,Cancelled,4,1.0,891.48
2024-02-11,Set,False,Shipped - Delivered to Buyer,136,135.0,110723.0
2024-02-11,Set,False,Shipped - Returned to Seller,18,18.0,15885.0
2024-02-10,Set,False,Shipped,273,283.0,239215.0
2024-02-10,Western Dress,False,Shipped - Delivered to Buyer,61,61.0,46283.0
2024-02-10,Western Dress,False,Shipped - Returned to Seller,4,4.0,3198.0
2024-02-10,Set,True,Shipped - Delivered to Buyer,1,1.0,648.0
2024-02-09,Set,False,Shipped,329,329.0,270945.0
2024-02-09,Western Dress,False,Shipped,62,62.0,43685.0
2024-02-09,Top,False,Shipped,84,84.0,42458.0
2024-02-07,Top,False,Shipped,86,86.0,43455.0
2024-02-07,kurta,False,Shipped - Delivered to Buyer,79,79.0,39621.0
2024-02-07,Western Dress,False,Shipped,48,48.0,35413.0
2024-02-07,Blouse,False,Shipped - Delivered to Buyer,2,2.0,917.0
2024-02-07,kurta,False,Shipped - Returned to Seller,7,7.0,3834.0
2024-02-07,Ethnic Dress,False,Cancelled,1,1.0,837.0
2024-02-06,Western Dress,False,Shipped - Delivered to Buyer,58,59.0,44629.0
2024-02-06,Set,False,Shipped - Delivered to Buyer,99,99.0,91348.0
2024-02-06,kurta,False,Cancelled,83,31.0,21105.529999999995
2024-02-06,Blouse,False,Shipped,5,5.0,2915.0
2024-02-09,kurta,True,Shipped - Delivered to Buyer,1,1.0,292.0
2024-02-09,Ethnic Dress,False,Shipped - Delivered to Buyer,5,5.0,3393.0
2024-02-08,Ethnic Dress,False,Shipped - Delivered to Buyer,8,8.0,5389.0
2024-02-08,Blouse,False,Shipped - Delivered to Buyer,4,4.0,1346.0
2024-02-08,Top,False,Cancelled,11,4.0,2616.29
2024-02-08,Western Dress,True,Shipped,1,1.0,459.0
2024-02-06,Set,False,Shipped - Returned to Seller,8,8.0,7283.0
2024-02-06,Top,True,Shipped,3,3.0,1883.0
2024-02-06,Western Dress,False,Shipped - Returned to Seller,2,2.0,1196.0
2024-02-05,Top,False,Shipped,110,110.0,54506.0
2024-02-05,Western Dress,False,Shipped,86,86.0,62134.0
2024-02-05,kurta,False,Cancelled,117,44.0,27189.85
2024-02-05,Bottom,False,Shipped,1,1.0,329.0
2024-02-05,Ethnic Dress,False,Shipped,7,7.0,5853.0
2024-02-05,Saree,False,Shipped,5,5.0,4306.0
2024-02-04,Set,True,Shipped,5,6.0,4809.0
2024-02-04,Ethnic Dress,False,Shipped - Delivered to Buyer,3,3.0,2581.0
2024-02-04,Western Dress,True,Shipped,1,1.0,665.0
2024-02-04,kurta,True,Shipped - Delivered to Buyer,1,1.0,311.0
2024-02-04,kurta,True,Shipped - Returned to Seller,1,1.0,442.0
2024-02-04,Top,False,Pending,1,1.0,464.0
2024-02-21,Western Dress,False,Shipped,90,91.0,72670.0
2024-02-20,Set,False,Shipped,210,210.0,185097.0
2024-02-20,kurta,False,Shipped - Delivered to Buyer,113,113.0,56592.0
2024-02-20,Western Dress,False,Shipped,131,131.0,103528.0
2024-02-20,kurta,False,Shipped - Returned to Seller,12,12.0,5994.0
2024-02-20,Top,False,Shipped,58,58.0,30927.0
2024-02-20,Ethnic Dress,False,Shipped - Delivered to Buyer,6,7.0,3989.0
2024-02-18,kurta,False,Cancelled,51,10.0,15814.24
2024-02-18,Set,False,Cancelled,69,20.0,37860.63
2024-02-18,Western Dress,True,Shipped - Delivered to Buyer,2,2.0,1436.0
2024-02-17,Top,False,Shipped,51,51.0,28904.0
2024-02-17,Set,False,Cancelled,74,15.0,38293.87000000001
2024-02-17,Blouse,False,Shipped - Delivered to Buyer,1,1.0,599.0
2024-02-16,Ethnic Dress,False,Cancelled,4,0.0,807.62
2024-02-16,Blouse,False,Shipped,3,3.0,1689.0
2024-02-15,kurta,False,Shipped - Delivered to Buyer,111,112.0,51456.0
2024-02-15,Top,False,Shipped,61,62.0,33769.0
2024-02-15,kurta,False,Shipped - Returned to Seller,12,12.0,5665.0
2024-02-15,Bottom,False,Cancelled,4,0.0,2742.88
2024-02-14,Western Dress,False,Shipped - Delivered to Buyer,117,117.0,88667.0
2024-02-14,Blouse,False,Shipped,7,7.0,2827.0
2024-02-14,Top,False,Shipped,41,41.0,22545.0
2024-02-14,Bottom,False,Shipped,4,4.0,1855.0
2024-02-14,Western Dress,False,Shipped - Returned to Seller,7,6.0,4569.0
2024-02-14,Blouse,True,Shipped,1,1.0,418.0
2024-02-13,kurta,False,Shipped - Delivered to Buyer,100,101.0,47736.0
2024-02-13,kurta,False,Shipped - Returned to Seller,9,9.0,4842.0
2024-02-13,Blouse,False,Shipped,10,10.0,4605.0
2024-02-13,Western Dress,False,Shipped,46,46.0,34585.0
2024-02-19,Western Dress,False,Cancelled,28,3.0,9589.31
2024-02-19,Bottom,False,Cancelled,1,0.0,360.95
2024-03-21,Top,True,Shipped,1,1.0,487.0
2024-03-21,Set,False,Shipped - Out for Delivery,2,2.0,1083.0
2024-03-20,Western Dress,False,Shipped,80,80.0,62236.0
2024-03-20,Ethnic Dress,False,Shipped,8,8.0,4241.0
2024-03-20,Set,False,Pending,3,3.0,2741.0
2024-03-20,Western Dress,False,Shipped - Picked Up,1,1.0,735.0
2024-03-19,Western Dress,False,Cancelled,21,4.0,9652.820000000002
2024-03-19,kurta,False,Cancelled,73,20.0,16584.629999999997
2024-03-19,Top,False,Shipped - Delivered to Buyer,18,18.0,10172.0
2024-03-19,Top,False,Shipped - Returned to Seller,1,1.0,908.0
2024-03-18,kurta,False,Shipped - Delivered to Buyer,89,90.0,39743.0
2024-03-18,Western Dress,False,Cancelled,19,9.0,11701.29
2024-03-18,Top,False,Shipped,58,58.0,33889.0
2024-03-18,kurta,False,Shipped - Returning to Seller,1,1.0,333.0
2024-03-18,kurta,False,Shipped - Returned to Seller,7,7.0,3348.0
2024-03-17,Top,False,Cancelled,13,8.0,6930.28
2024-03-17,Ethnic Dress,False,Shipped,6,6.0,5490.0
2024-03-16,Set,False,Shipped,361,364.0,305136.0
2024-03-16,kurta,False,Shipped,390,390.0,181504.0
2024-03-16,Western Dress,False,Cancelled,23,5.0,12467.11
2024-03-16,Top,False,Cancelled,7,1.0,1091.67
2024-03-16,Bottom,False,Cancelled,1,1.0,518.0
2024-03-16,Western Dress,True,Shipped,1,1.0,1091.0
2024-03-15,Set,False,Cancelled,79,23.0,43057.85
2024-03-15,Ethnic Dress,False,Cancelled,3,2.0,1665.9
2024-03-15,Blouse,False,Shipped,8,8.0,4520.0
2024-03-14,Blouse,False,Shipped,4,4.0,2065.0
2024-03-13,Western Dress,False,Cancelled,21,5.0,12077.57
2024-03-13,Top,False,Cancelled,5,2.0,1261.0
2024-03-13,Blouse,False,Shipped,7,7.0,4772.0
2024-03-11,kurta,False,Cancelled,103,35.0,26140.069999999996
2024-03-12,Western Dress,False,Shipped,115,115.0,93892.0
2024-03-12,Ethnic Dress,True,Shipped,1,1.0,1125.0
2024-03-10,kurta,True,Shipped,4,4.0,2843.0
2024-01-23,kurta,False,Cancelled,97,23.0,25927.710000000006
2024-01-23,Blouse,False,Shipped - Delivered to Buyer,6,7.0,2926.0
2024-01-23,Saree,False,Shipped - Delivered to Buyer,1,1.0,749.0
2024-01-23,Western Dress,False,Shipped - Delivered to Buyer,30,30.0,22024.0
2024-01-23,kurta,True,Shipped - Delivered to Buyer,3,3.0,966.0
2024-01-23,Western Dress,False,Shipped - Returned to Seller,4,4.0,3218.0
2024-01-22,kurta,False,Shipped,445,447.0,191188.0
2024-01-22,Western Dress,False,Cancelled,6,3.0,2081.0
2024-01-22,Ethnic Dress,False,Shipped - Delivered to Buyer,9,9.0,8097.0
2024-01-18,kurta,False,Shipped,316,317.0,137759.0
2024-01-18,Set,False,Shipped,352,352.0,296266.0
2024-01-18,Top,False,Shipped,74,75.0,36670.0
2024-01-18,Bottom,False,Shipped,5,5.0,2101.0
2024-01-18,Blouse,False,Shipped - Delivered to Buyer,8,8.0,4016.0
2024-01-18,Bottom,True,Shipped,1,1.0,273.0
2024-01-17,Top,False,Shipped,76,76.0,37552.0
2024-01-22,Set,True,Shipped,1,1.0,715.0
2024-01-21,Ethnic Dress,False,Shipped - Delivered to Buyer,6,6.0,4932.0
2024-01-21,Ethnic Dress,False,Shipped - Returned to Seller,2,2.0,1690.0
2024-01-21,Set,True,Shipped - Delivered to Buyer,1,1.0,1186.0
2024-01-20,kurta,False,Cancelled,115,26.0,30739.679999999993
2024-01-20,Top,False,Shipped - Delivered to Buyer,28,29.0,15003.0
2024-01-20,Set,True,Shipped - Delivered to Buyer,5,5.0,3523.0
2024-01-19,kurta,False,Shipped,349,349.0,146932.0
2024-01-19,Top,False,Shipped,86,88.0,44240.0
2024-01-19,Ethnic Dress,False,Shipped,3,3.0,2427.0
2024-01-19,Western Dress,True,Cancelled,1,0.0,0.0
2024-01-19,Bottom,False,Cancelled,1,0.0,359.05
2024-01-17,Ethnic Dress,False,Cancelled,1,0.0,0.0
2024-01-16,kurta,False,Shipped,486,488.0,205023.0
2024-01-16,Top,False,Shipped,93,93.0,43351.0
2024-01-16,Set,False,Shipped - Delivered to Buyer,148,148.0,107710.0
2024-01-16,Set,False,Shipped - Returned to Seller,8,8.0,5627.0
2024-01-16,Blouse,False,Shipped - Returned to Seller,1,1.0,545.0
2024-01-16,Blouse,False,Shipped - Delivered to Buyer,3,3.0,1423.0
2024-01-16,Saree,False,Shipped,1,1.0,563.0
2024-01-16,Western Dress,True,Shipped - Delivered to Buyer,2,2.0,1512.0
2024-01-15,Set,False,Cancelled,107,27.0,48080.490000000005
2024-01-15,kurta,False,Shipped - Delivered to Buyer,167,168.0,75673.0
2024-01-15,kurta,False,Shipped - Returned to Seller,15,15.0,6758.0
2024-01-15,Blouse,False,Cancelled,1,0.0,519.05
2024-01-31,kurta,False,Shipped,456,456.0,198543.0
2024-01-31,Top,False,Shipped - Delivered to Buyer,16,16.0,7930.0
2024-01-31,Top,False,Shipped - Returned to Seller,3,3.0,1540.0
2024-01-30,Western Dress,False,Cancelled,27,5.0,10795.679999999998
2024-01-30,Top,False,Cancelled,20,12.0,9010.58
2024-01-30,Blouse,False,Shipped - Returned to Seller,2,2.0,1143.0
2024-01-30,Set,True,Shipped,5,5.0,4820.0
2024-01-28,Set,False,Shipped - Delivered to Buyer,194,194.0,149071.0
2024-01-28,Set,False,Shipped - Returned to Seller,29,29.0,22599.0
2024-01-28,Western Dress,False,Shipped - Delivered to Buyer,62,62.0,47392.0
2024-01-28,Western Dress,False,Shipped - Returned to Seller,3,3.0,2405.0
2024-01-28,kurta,True,Cancelled,1,0.0,0.0
2024-01-28,Top,False,Cancelled,9,2.0,3822.91
2024-01-25,Western Dress,False,Shipped - Delivered to Buyer,67,68.0,51632.0
2024-01-25,Blouse,False,Shipped,12,12.0,4786.0
2024-01-25,Western Dress,False,Shipped - Returned to Seller,4,4.0,3042.0
2024-01-25,kurta,True,Shipped - Delivered to Buyer,2,2.0,894.0
2024-01-25,Bottom,False,Shipped - Delivered to Buyer,4,4.0,1783.0
